2019-11-24T23:02:13.883-0200 [INFO] 2019-11-24 23:02:13,883 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaVertical - ##### Método finalizado #####
2019-11-24T23:02:13.883-0200 [INFO] 2019-11-24 23:02:13,883 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaVertical - ##### Método iniciado #####
2019-11-24T23:02:13.883-0200 [DEBUG] 2019-11-24 23:02:13,883 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaVertical - Parâmetros recebidos: 
2019-11-24T23:02:13.883-0200 [DEBUG] 2019-11-24 23:02:13,883 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaVertical - 1- linhaStart: 0
2019-11-24T23:02:13.883-0200 [DEBUG] 2019-11-24 23:02:13,883 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaVertical - 2- colunaStart: 3
2019-11-24T23:02:13.883-0200 [DEBUG] 2019-11-24 23:02:13,883 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaVertical - 3- numberOfSequence: 3
2019-11-24T23:02:13.883-0200 [DEBUG] 2019-11-24 23:02:13,883 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaVertical - 4- numberOfSequence:2
2019-11-24T23:02:13.884-0200 [DEBUG] 2019-11-24 23:02:13,884 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaVertical - Retorno:0
2019-11-24T23:02:13.884-0200 [INFO] 2019-11-24 23:02:13,884 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaVertical - ##### Método finalizado #####
2019-11-24T23:02:13.884-0200 [INFO] 2019-11-24 23:02:13,884 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaVertical - ##### Método iniciado #####
2019-11-24T23:02:13.884-0200 [DEBUG] 2019-11-24 23:02:13,884 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaVertical - Parâmetros recebidos: 
2019-11-24T23:02:13.884-0200 [DEBUG] 2019-11-24 23:02:13,884 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaVertical - 1- linhaStart: 0
2019-11-24T23:02:13.884-0200 [DEBUG] 2019-11-24 23:02:13,884 [http-nio-8080-exec-1] [] com.mercadolibre.dnaapi.business.DefineSimianDnaBusiness searchDnaVertical - 2- colunaStart: 4
